Star_ID,mu_n
34895.0,2.0341035555452063
41020.0,2.0345607856946404
18222.0,2.0353197651415846
25082.0,2.035508275428807
25490.0,2.035766688515583
15231.0,2.0366234360691124
43947.0,2.036657178051452
25979.0,2.0374941636765995
32190.0,2.037977442124778
25347.0,2.0382877864033087
27968.0,2.0388866752187758
42666.0,2.0392648868714747
32009.0,2.0393936948560714
38341.0,2.0394027845954703
18927.0,2.039487935144064
38248.0,2.039972047377571
25828.0,2.04020109943545
14573.0,2.040333004488177
42443.0,2.0404683277351774
18382.0,2.0408350724935667
18710.0,2.041189740903897
15295.0,2.0414992958039884
13570.0,2.0416255155334526
39564.0,2.0424726627534637
11798.0,2.042584234817713
25994.0,2.0426484801546594
37709.0,2.043069939851517
56303.0,2.043129712021576
37126.0,2.0432640277203156
40592.0,2.0438968101846506
14168.0,2.0451985367265206
43473.0,2.0455226899733994
27851.0,2.045927883545639
55364.0,2.046445374962883
25534.0,2.0465495638353968
34806.0,2.0467959870796535
15288.0,2.047296618556144
40321.0,2.047552139973114
14817.0,2.0480960211718906
32254.0,2.048212459254219
25826.0,2.0485137794170996
63949.0,2.048532570749507
39447.0,2.04942083671887
39519.0,2.049531746214446
14632.0,2.0497118062208064
29464.0,2.0504151435405897
70870.0,2.051115139206465
27183.0,2.051173512903272
17900.0,2.051352607494321
37966.0,2.0516087029941885
39162.0,2.052031243149821
14671.0,2.052193926381821
38065.0,2.052302055046778
17877.0,2.0525583374610883
17171.0,2.053018511124138
18872.0,2.0530333229629294
38910.0,2.0531908902282003
33800.0,2.0535699098008275
32534.0,2.053641685446992
44937.0,2.053830559326675
33536.0,2.0540889086556446
25540.0,2.054364227123029
28053.0,2.054592887779242
45669.0,2.054696101424169
36851.0,2.054981944878309
33770.0,2.0552342403269854
64807.0,2.0553162232556597
13364.0,2.05547980270329
28219.0,2.0560453946390878
32353.0,2.0561043162013046
32587.0,2.0562168216944063
70925.0,2.056622398567449
30538.0,2.056782606470378
41155.0,2.056872403227284
38638.0,2.0568923225908122
25215.0,2.0569744507930223
11555.0,2.057886186515509
27521.0,2.057952403932346
26817.0,2.0580839980993835
34287.0,2.0583436884522084
17113.0,2.0585573157965706
71249.0,2.058596666926418
30393.0,2.058755767569673
30416.0,2.0590877671308006
14720.0,2.0591602631430055
30223.0,2.0598881324252645
12946.0,2.0600572838424624
18492.0,2.0604039766327893
70771.0,2.0608423462163366
19730.0,2.061337481445199
3821.0,2.06162933937353
12151.0,2.061637296327146
